X,3,3
O,5,5
X,6,5
O,6,4
X,9,2
O,10,2
X,11,2
O,12,2
X,13,2
O,14,2
X,15,2
O,16,2
X,17,2
O,18,2
X,19,2
O,19,3
X,19,4
O,19,5
X,19,6
O,19,7
X,19,8
O,19,9
X,19,10
O,19,1
X,18,1
O,18,3
X,18,4
O,18,5
X,18,6
O,18,7
X,18,8
O,18,9
X,18,10
O,17,10
X,17,9
O,17,8
X,17,7
O,17,6
X,17,5
O,17,4
X,17,3
O,17,1
X,16,1
O,15,1
X,13,1
O,14,1
X,12,1
O,11,1
X,10,1
O,9,1
X,8,1
O,7,1
X,6,1
O,5,1
X,4,1
O,3,1
X,2,1
O,1,1
X,1,2
O,1,3
X,1,4
O,1,5
X,1,6
O,1,7
X,1,8
O,1,9
X,1,10
O,2,10
X,3,10
O,4,10
X,5,10
O,6,10
X,7,10
O,8,10
X,9,10
O,10,10
X,11,10
O,12,10
X,13,10
O,14,10
X,15,10
O,16,10
